song_id,title_zh_display,title_en_authoritative,formation_theme,suggested_use,source_stage,copyright_status,discernment_status
S-0046,基督精兵,"Onward, Christian Soldiers",跟随与使命,教会／使命,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0047,一切为耶稣,All for Jesus,全人委身,奉献／门徒,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0048,一生奉献,"Take My Life, and Let It Be",奉献与生命,奉献／门徒,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0049,我每时刻需要你,I Need Thee Every Hour,持续依靠基督,祷告／信靠,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0050,主，与我同住,Abide with Me,同在与盼望,信靠／盼望,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0051,以信为本,Be Thou My Vision,以神为中心,门徒／敬拜,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0052,来，我神我王,"Come, Thou Fount of Every Blessing",恩典与归向,恩典／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0053,磐石之上,The Solid Rock,基督与稳固,福音／信靠,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0054,万古磐石,Rock of Ages,基督与遮盖,救恩／信靠,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0055,若无人领我,"Just As I Am, Without One Plea",悔改与恩典,福音／回应,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0056,耶稣，我爱你,"My Jesus, I Love Thee",爱基督,爱主／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0057,我宁愿有耶稣,I'd Rather Have Jesus,基督优先,门徒／委身,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0058,求主使我成为圣洁,Spirit of the Living God,圣灵更新,成圣／圣灵,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0059,主，我愿跟随你,Where He Leads Me,跟随与顺服,门徒／呼召,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0060,我主，我神，我王,All Hail the Power of Jesus' Name,基督王权,基督论／敬拜,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0061,我父神,"Abba, Father",神的儿女身份,身份／敬拜,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0062,永远的膀臂,Leaning on the Everlasting Arms,依靠与平安,信靠／安慰,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0063,祂藏我灵,He Hideth My Soul,神的保护,信靠／安慰,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0064,主爱何等甘甜,"Jesus, Lover of My Soul",基督的爱与避难,基督／信靠,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0065,耶稣是我一切,Jesus Is All the World to Me,以基督为满足,基督中心／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0066,靠祂得胜,Victory in Jesus,福音与得胜,救恩／见证,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0067,亲近，更亲近,"Nearer, My God, to Thee",亲近神,灵修／敬拜,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0068,我知所信的是谁,I Know Whom I Have Believed,信心与确据,信心／救恩,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0069,惟独基督,In Christ Alone,基督与福音,基督论／福音,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0070,怎能不歌唱,And Can It Be That I Should Gain,恩典与称义,福音／恩典,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0071,神宝座前,Before the Throne of God Above,称义与中保,福音／确据,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0072,祂必托住我,He Will Hold Me Fast,神保守与确据,救恩／信靠,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0073,基督是我生死盼望,Christ Our Hope in Life and Death,生死中的盼望,复活／盼望,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0074,我所有都是基督,All I Have Is Christ,以基督为一切,福音／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0075,基督是我的产业,Christ Is Mine Forevermore,在基督里的身份,门徒／盼望,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0076,主，请说,"Speak, O Lord",真理与顺服,圣经／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0077,万邦中,Across the Lands,基督与普世,使命／基督,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0078,教会兴起,O Church Arise,教会与使命,教会／使命,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0079,十字架的能力,The Power of the Cross,十字架与救赎,十架／福音,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0080,主是我的拯救,The Lord Is My Salvation,救恩与依靠,福音／信靠,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0081,我要像耶稣,I Want to Be Like Jesus,效法基督,成圣／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0082,求你为我造清洁的心,Create in Me a Clean Heart,悔改与内心更新,悔改／成圣,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0083,首先求神的国,Seek Ye First,神国与优先次序,门徒／神国,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0084,耶和华是我牧者,The Lord's My Shepherd,牧养与满足,信靠／安慰,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0085,我灵啊赞美耶和华,"10,000 Reasons (Bless the Lord)",敬拜与感恩,敬拜／感恩,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0086,不再是我,Yet Not I but Through Christ in Me,基督在我里面,门训／成圣,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0087,祂的怜悯何其大,His Mercy Is More,怜悯与赦罪,恩典／悔改,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0088,住在基督里,Abide,住在基督里,门训／灵修,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0089,建立我的生命,Build My Life,以基督为根基,门训／群体,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0090,耶稣居首位,"Jesus, Be the Centre",基督中心,敬拜／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0091,主，我需要你,"Lord, I Need You",持续依靠恩典,祷告／门训,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0092,坚固的根基,How Firm a Foundation,真理根基与信靠,圣经／信靠,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0093,主在这里,The Lord Is in This Place,神的同在,敬拜／安慰,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0094,我的魂哪，要称颂耶和华,"Bless the Lord, O My Soul",赞美与记念恩典,敬拜／感恩,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0095,我心中的王,King of My Heart,神作王与信靠,敬拜／信靠,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0096,和平之子,Make Me a Channel of Your Peace,和平与服事,邻舍／使命,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0097,我们用爱彼此相认,They'll Know We Are Christians by Our Love,彼此相爱与见证,教会／见证,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0098,我在这里，请差遣我,"Here I Am, Lord",呼召与差派,宣教／呼召,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0099,去告诉山上,Go Tell It on the Mountain,福音传扬,宣教／见证,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0100,我要跟随耶稣,I Will Follow Thee,跟随与委身,门徒／跟随,new,SOURCE_REQUIRED,NOT_YET_ASSESSED
